ControlStation,magnitude,year,month,day,date,Measurement,meanValue,maxValue,minValue,unit
39,Precipitation,2019,1,4,2019-01-04,28079039_89_98_19_01_04,16.916666666666668,23.0,9.0,l/m^2
24,Temperature,2019,1,4,2019-01-04,28079024_83_98_19_01_04,0.25000000000000006,0.5,0.1,ºC
110,Temperature,2019,1,4,2019-01-04,28079110_83_98_19_01_04,75.66666666666667,273.0,12.0,ºC
107,Temperature,2019,1,4,2019-01-04,28079107_83_98_19_01_04,84.5,133.0,30.0,ºC
59,Precipitation,2019,1,4,2019-01-04,28079059_89_98_19_01_04,0.7583333333333336,1.5,0.3,l/m^2
56,Temperature,2019,1,4,2019-01-04,28079056_83_98_19_01_04,37.125,83.0,13.0,ºC
104,Temperature,2019,1,4,2019-01-04,28079104_83_98_19_01_04,0.9416666666666668,3.0,0.3,ºC
115,Temperature,2019,1,4,2019-01-04,28079115_83_98_19_01_04,10.539583333333333,38.96,2.79,ºC
59,Temperature,2019,1,4,2019-01-04,28079059_83_98_19_01_04,1.8333333333333333,7.6,0.4,ºC
112,Temperature,2019,1,4,2019-01-04,28079112_83_98_19_01_04,370.875,617.0,50.0,ºC
106,Precipitation,2019,1,4,2019-01-04,28079106_89_98_19_01_04,1.6337500000000003,2.21,1.38,l/m^2
103,Precipitation,2019,1,4,2019-01-04,28079103_89_98_19_01_04,0.46666666666666656,1.1,0.2,l/m^2
113,Temperature,2019,1,4,2019-01-04,28079113_83_98_19_01_04,27.708333333333332,56.0,16.0,ºC
38,Temperature,2019,1,4,2019-01-04,28079038_83_98_19_01_04,0.3791666666666667,1.2,0.1,ºC
102,Precipitation,2019,1,4,2019-01-04,28079102_89_98_19_01_04,0.6416666666666667,1.8,0.3,l/m^2
108,Temperature,2019,1,4,2019-01-04,28079108_83_98_19_01_04,12.702083333333329,38.4,0.89,ºC
107,Precipitation,2019,1,4,2019-01-04,28079107_89_98_19_01_04,97.66666666666667,435.0,21.0,l/m^2
8,Temperature,2019,1,4,2019-01-04,28079008_83_98_19_01_04,83.91666666666667,142.0,27.0,ºC
35,Temperature,2019,1,4,2019-01-04,28079035_83_98_19_01_04,42.583333333333336,201.0,1.0,ºC
111,Temperature,2019,1,4,2019-01-04,28079111_83_98_19_01_04,105.91666666666667,269.0,27.0,ºC
24,Precipitation,2019,1,4,2019-01-04,28079024_89_98_19_01_04,38.791666666666664,160.0,2.0,l/m^2
18,Temperature,2019,1,4,2019-01-04,28079018_83_98_19_01_04,179.0,560.0,63.0,ºC
54,Temperature,2019,1,4,2019-01-04,28079054_83_98_19_01_04,57.666666666666664,130.0,16.0,ºC
56,Precipitation,2019,1,4,2019-01-04,28079056_89_98_19_01_04,31.208333333333332,144.0,2.0,l/m^2
58,Temperature,2019,1,4,2019-01-04,28079058_83_98_19_01_04,61.833333333333336,244.0,12.0,ºC
4,Temperature,2019,1,4,2019-01-04,28079004_83_98_19_01_04,93.25,269.0,12.0,ºC
103,Temperature,2019,1,4,2019-01-04,28079103_83_98_19_01_04,4.225,9.1,1.2,ºC
107,Precipitation,2019,1,5,2019-01-05,28079107_89_98_19_01_05,67.70833333333333,134.0,23.0,l/m^2
109,Temperature,2019,1,5,2019-01-05,28079109_83_98_19_01_05,161.5,670.0,25.0,ºC
103,Temperature,2019,1,5,2019-01-05,28079103_83_98_19_01_05,63.041666666666664,142.0,37.0,ºC
54,Precipitation,2019,1,5,2019-01-05,28079054_89_98_19_01_05,122.875,438.0,22.0,l/m^2
104,Precipitation,2019,1,5,2019-01-05,28079104_89_98_19_01_05,70.45833333333333,146.0,36.0,l/m^2
108,Precipitation,2019,1,5,2019-01-05,28079108_89_98_19_01_05,59.625,122.0,18.0,l/m^2
114,Temperature,2019,1,5,2019-01-05,28079114_83_98_19_01_05,1.5250000000000001,2.7,0.6,ºC
39,Precipitation,2019,1,5,2019-01-05,28079039_89_98_19_01_05,87.79166666666667,146.0,28.0,l/m^2
106,Temperature,2019,1,5,2019-01-05,28079106_83_98_19_01_05,111.54166666666667,252.0,8.0,ºC
54,Temperature,2019,1,5,2019-01-05,28079054_83_98_19_01_05,9.560833333333333,39.63,0.89,ºC
59,Temperature,2019,1,5,2019-01-05,28079059_83_98_19_01_05,73.95833333333333,128.0,39.0,ºC
24,Precipitation,2019,1,5,2019-01-05,28079024_89_98_19_01_05,112.04166666666667,238.0,42.0,l/m^2
35,Temperature,2019,1,5,2019-01-05,28079035_83_98_19_01_05,72.20833333333333,292.0,2.0,ºC
108,Temperature,2019,1,5,2019-01-05,28079108_83_98_19_01_05,1.7854166666666667,2.0,1.51,ºC
113,Temperature,2019,1,5,2019-01-05,28079113_83_98_19_01_05,0.8333333333333334,2.3,0.4,ºC
115,Temperature,2019,1,5,2019-01-05,28079115_83_98_19_01_05,66.54166666666667,243.0,4.0,ºC
106,Precipitation,2019,1,5,2019-01-05,28079106_89_98_19_01_05,37.791666666666664,99.0,11.0,l/m^2
24,Temperature,2019,1,5,2019-01-05,28079024_83_98_19_01_05,76.33333333333333,148.0,36.0,ºC
59,Precipitation,2019,1,5,2019-01-05,28079059_89_98_19_01_05,0.6791666666666666,1.9,0.3,l/m^2
102,Precipitation,2019,1,5,2019-01-05,28079102_89_98_19_01_05,1.5437500000000004,1.77,1.35,l/m^2
