Numero,Distrito,Barrio,Calle,Direccion,N_Finca,Numero_de_Plazas,Ciudad,Longitud,Point,Latitud
102,SALAMANCA,RECOLETOS,CALLE_DE_ALCALA,"CALLE DE ALCALA, 95",95,24,Madrid,-3.6840806,POINT(-3.6840806  40.4211552),40.4211552
103,SALAMANCA,CASTELLANA,CALLE_DE_JOSE_ORTEGA_Y_GASSET,"CALLE DE JOSE ORTEGA Y GASSET, 4",4,24,Madrid,-3.6865351,POINT(-3.6865351  40.4303733),40.4303733
104,SALAMANCA,RECOLETOS,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, 4",4,21,Madrid,-3.6895792,POINT(-3.6895792  40.4267658),40.4267658
105,SALAMANCA,RECOLETOS,CALLE_DE_SERRANO,"CALLE DE SERRANO, 46",46,24,Madrid,-3.6874745,POINT(-3.6874745  40.4270684),40.4270684
106a,SALAMANCA,RECOLETOS,CALLE_DE_SERRANO,"CALLE DE SERRANO, 32",32,18,Madrid,-3.6878868,POINT(-3.6878868  40.4248642),40.4248642
106b,SALAMANCA,RECOLETOS,CALLE_DE_SERRANO,"CALLE DE SERRANO, 34",34,18,Madrid,-3.6878604,POINT(-3.6878604  40.4250085),40.4250085
107,SALAMANCA,RECOLETOS,CALLE_DE_SERRANO,"CALLE DE SERRANO, 8",8,24,Madrid,-3.6884243,POINT(-3.6884243  40.4215952),40.4215952
108,SALAMANCA,GOYA,CALLE_DE_LAS_MARTIRES_CONCEPCIONISTAS,"CALLE DE LAS MARTIRES CONCEPCIONISTAS, 2",2,27,Madrid,-3.670653,POINT(-3.670653  40.4274425),40.4274425
109,SALAMANCA,CASTELLANA,CALLE_DE_JOSE_ORTEGA_Y_GASSET,"CALLE DE JOSE ORTEGA Y GASSET, 32",32,24,Madrid,-3.6815253,POINT(-3.6815253  40.4301281),40.4301281
110,MONCLOA-ARAVACA,CASA_DE_CAMPO,PASEO_DE_MORET,"PASEO DE MORET, S/N",S/N,24,Madrid,-3.7201316,POINT(-3.7201316  40.4347654),40.4347654
111a,CHAMBERI,GAZTAMBIDE,CALLE_DEL_ARCIPRESTE_DE_HITA,"CALLE DEL ARCIPRESTE DE HITA, 8",8,24,Madrid,-3.7174896,POINT(-3.7174896  40.4335742),40.4335742
111b,CHAMBERI,GAZTAMBIDE,CALLE_DEL_ARCIPRESTE_DE_HITA,"CALLE DEL ARCIPRESTE DE HITA, 12",12,24,Madrid,-3.7177783,POINT(-3.7177783  40.433982),40.433982
112,MONCLOA-ARAVACA,ARGUELLES,PASEO_DE_MORET,"PASEO DE MORET, 11",11,24,Madrid,-3.7248727,POINT(-3.7248727  40.4326267),40.4326267
113,MONCLOA-ARAVACA,CASA_DE_CAMPO,PASEO_DEL_PINTOR_ROSALES,"PASEO DEL PINTOR ROSALES, 38",38,24,Madrid,-3.7207145,POINT(-3.7207145  40.4277472),40.4277472
114,MONCLOA-ARAVACA,ARGUELLES,CALLE_DE_QUINTANA,"CALLE DE QUINTANA, 13",13,24,Madrid,-3.7174151,POINT(-3.7174151  40.4278211),40.4278211
115,MONCLOA-ARAVACA,ARGUELLES,PLAZA_DEL_MARQUES_DE_CERRALBO,"PLAZA DEL MARQUES DE CERRALBO, S/N",S/N,24,Madrid,-3.7169626,POINT(-3.7169626  40.4253802),40.4253802
116a,MONCLOA-ARAVACA,ARGUELLES,PLAZA_DE_ESPANA,"PLAZA DE ESPAÑA, S/N",S/N,24,Madrid,-3.7117588,POINT(-3.7117588  40.4240632),40.4240632
116b,MONCLOA-ARAVACA,ARGUELLES,PLAZA_DE_ESPANA,"PLAZA DE ESPAÑA, S/N",S/N,24,Madrid,-3.7118457,POINT(-3.7118457  40.4241889),40.4241889
117,MONCLOA-ARAVACA,ARGUELLES,CALLE_DE_ALTAMIRANO,"CALLE DE ALTAMIRANO, 24",24,24,Madrid,-3.7189152,POINT(-3.7189152  40.4309046),40.4309046
118,ARGANZUELA,PALOS_DE_MOGUER,CALLE_DE_JUAN_MARTIN_EL_EMPECINADO,"CALLE DE JUAN MARTIN EL EMPECINADO, 16",16,24,Madrid,-3.688135,POINT(-3.688135  40.4007959),40.4007959
119,ARGANZUELA,ATOCHA,CALLE_DE_MENDEZ_ALVARO,"CALLE DE MENDEZ ALVARO, 7",7,24,Madrid,-3.6865777,POINT(-3.6865777  40.4014567),40.4014567
120,ARGANZUELA,PALOS_DE_MOGUER,CALLE_DE_PALOS_DE_LA_FRONTERA,"CALLE DE PALOS DE LA FRONTERA, 27",27,24,Madrid,-3.6947791,POINT(-3.6947791  40.4030362),40.4030362
121,ARGANZUELA,PALOS_DE_MOGUER,PASEO_DE_SANTA_MARIA_DE_LA_CABEZA,"PASEO DE SANTA MARIA DE LA CABEZA, 58",58,24,Madrid,-3.6986046,POINT(-3.6986046  40.4018356),40.4018356
122,CHAMBERI,ALMAGRO,CALLE_DE_SANTA_ENGRACIA,"CALLE DE SANTA ENGRACIA, 16",16,24,Madrid,-3.6962626,POINT(-3.6962626  40.429524),40.429524
123,CHAMBERI,GAZTAMBIDE,CALLE_DE_GUZMAN_EL_BUENO,"CALLE DE GUZMAN EL BUENO, 2",2,24,Madrid,-3.7134685,POINT(-3.7134685  40.4306386),40.4306386
124,CHAMBERI,TRAFALGAR,CALLE_DE_MANUEL_SILVELA,"CALLE DE MANUEL SILVELA, 18",18,24,Madrid,-3.6993182,POINT(-3.6993182  40.4308173),40.4308173
125,CHAMBERI,ALMAGRO,CALLE_DE_FERNANDEZ_DE_LA_HOZ,"CALLE DE FERNANDEZ DE LA HOZ, 29",29,24,Madrid,-3.6948316,POINT(-3.6948316  40.4353128),40.4353128
126,CHAMBERI,TRAFALGAR,CALLE_DEL_GENERAL_ALVAREZ_DE_CASTRO,"CALLE DEL GENERAL ALVAREZ DE CASTRO, 4",4,24,Madrid,-3.7017424,POINT(-3.7017424  40.4345672),40.4345672
127,CHAMBERI,ARAPILES,CALLE_DE_FERNANDO_EL_CATOLICO,"CALLE DE FERNANDO EL CATOLICO, 19",19,24,Madrid,-3.7083987,POINT(-3.7083987  40.4339055),40.4339055
128a,CHAMBERI,GAZTAMBIDE,CALLE_DE_CEA_BERMUDEZ,"CALLE DE CEA BERMUDEZ, 59",59,24,Madrid,-3.7155506,POINT(-3.7155506  40.4390329),40.4390329
128b,CHAMBERI,GAZTAMBIDE,CALLE_DE_CEA_BERMUDEZ,"CALLE DE CEA BERMUDEZ, 59",59,3,Madrid,-3.7156915,POINT(-3.7156915  40.4390391),40.4390391
129,CHAMBERI,RIOS_ROSAS,CALLE_DE_JOSE_ABASCAL,"CALLE DE JOSE ABASCAL, 33",33,24,Madrid,-3.6982818,POINT(-3.6982818  40.4384684),40.4384684
130,CHAMBERI,RIOS_ROSAS,CALLE_DE_SANTA_ENGRACIA,"CALLE DE SANTA ENGRACIA, 129",129,20,Madrid,-3.7017071,POINT(-3.7017071  40.4417195),40.4417195
131,CHAMBERI,RIOS_ROSAS,CALLE_DE_BRAVO_MURILLO,"CALLE DE BRAVO MURILLO, 44",44,24,Madrid,-3.704022,POINT(-3.704022  40.4417543),40.4417543
132,CHAMBERI,RIOS_ROSAS,CALLE_DE_SANTA_ENGRACIA,"CALLE DE SANTA ENGRACIA, 168",168,24,Madrid,-3.7035911,POINT(-3.7035911  40.4463889),40.4463889
133,TETUAN,CUATRO_CAMINOS,CALLE_DE_DULCINEA,"CALLE DE DULCINEA, 3",3,24,Madrid,-3.7000292,POINT(-3.7000292  40.4471673),40.4471673
134,CHAMBERI,RIOS_ROSAS,CALLE_DE_MARIA_DE_GUZMAN,"CALLE DE MARIA DE GUZMAN, 58",58,24,Madrid,-3.6955114,POINT(-3.6955114  40.444027),40.444027
135,CHAMBERI,RIOS_ROSAS,PLAZA_DE_SAN_JUAN_DE_LA_CRUZ,"PLAZA DE SAN JUAN DE LA CRUZ, S/N",S/N,24,Madrid,-3.6928901,POINT(-3.6928901  40.4414845),40.4414845
136,CHAMARTIN,EL_VISO,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, 106",106,24,Madrid,-3.6908127,POINT(-3.6908127  40.4452833),40.4452833
137,CHAMARTIN,EL_VISO,PLAZA_DE_LA_REPUBLICA_ARGENTINA,"PLAZA DE LA REPUBLICA ARGENTINA, 6",6,24,Madrid,-3.6852925,POINT(-3.6852925  40.4454958),40.4454958
138,CHAMBERI,RIOS_ROSAS,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, 108",108,24,Madrid,-3.6915818,POINT(-3.6915818  40.4456884),40.4456884
139,CHAMARTIN,EL_VISO,CALLE_DE_JOSE_GUTIERREZ_ABASCAL,"CALLE DE JOSE GUTIERREZ ABASCAL, S/N",S/N,24,Madrid,-3.6904495,POINT(-3.6904495  40.4393558),40.4393558
140a,CHAMARTIN,EL_VISO,CALLE_DE_VELAZQUEZ,"CALLE DE VELAZQUEZ, 134",134,24,Madrid,-3.6829045,POINT(-3.6829045  40.438628),40.438628
140b,CHAMARTIN,EL_VISO,CALLE_DE_VELAZQUEZ,"CALLE DE VELAZQUEZ, 134",134,3,Madrid,-3.6829127,POINT(-3.6829127  40.4385198),40.4385198
141,CHAMBERI,ALMAGRO,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, 43",43,12,Madrid,-3.6892902,POINT(-3.6892902  40.4354253),40.4354253
142,SALAMANCA,CASTELLANA,PASEO_DE_LA_CASTELLANA,"PASEO DE LA CASTELLANA, S/N",S/N,24,Madrid,-3.6880402,POINT(-3.6880402  40.4335262),40.4335262
143,SALAMANCA,LISTA,CALLE_DE_DIEGO_DE_LEON,"CALLE DE DIEGO DE LEON, 54",54,24,Madrid,-3.6782355,POINT(-3.6782355  40.434616),40.434616
