Número,Distrito,Barrio ,Calle,Direccion,Nº Finca,Número de Plazas,Longitud,POINT,Latitud
209, CHAMARTÍN,NUEVA ESPAÑA, PLAZA DE CASTILLA," PLAZA DE CASTILLA, 9",9,24,-3.6887875,-3.6887875  40.4656872,40.4656872
210, CENTRO,SOL, CALLE DE LAS TRES CRUCES," CALLE DE LAS TRES CRUCES, 9",9,27,-3.702631,-3.702631  40.4197538,40.4197538
211, CENTRO,UNIVERSIDAD, CALLE DEL DESENGAÑO," CALLE DEL DESENGAÑO, 3",3,24,-3.7025369,-3.7025369  40.4206168,40.4206168
212, CARABANCHEL,SAN ISIDRO, GLORIETA DEL MARQUES DE VADILLO," GLORIETA DEL MARQUES DE VADILLO, 9",9,24,-3.7165313,-3.7165313  40.3981605,40.3981605
213, USERA,MOSCARDÓ, CALLE DE ANTONIO LOPEZ," CALLE DE ANTONIO LOPEZ, 129",129,24,-3.7001575,-3.7001575  40.3889363,40.3889363
214, CIUDAD LINEAL,SAN PASCUAL, CALLE DE LA CONDESA DE VENADITO," CALLE DE LA CONDESA DE VENADITO, 2",2,24,-3.6569597,-3.6569597  40.4434012,40.4434012
215, CIUDAD LINEAL,PUEBLO NUEVO, CALLE DE GUTIERRE DE CETINA," CALLE DE GUTIERRE DE CETINA, 77",77,24,-3.6409697,-3.6409697  40.4296903,40.4296903
216, LATINA,PUERTA DEL ÁNGEL, PLAZA DE LA PUERTA DEL ANGEL," PLAZA DE LA PUERTA DEL ANGEL, 3",3,24,-3.7288948,-3.7288948  40.4140528,40.4140528
217, FUENCARRAL-EL PARDO,LA PAZ, CALLE DE PEDRO RICO," CALLE DE PEDRO RICO, 4",4,24,-3.6891094,-3.6891094  40.4810028,40.4810028
218, MORATALAZ,MEDIA LEGUA, CALLE DEL CAMINO DE LOS VINATEROS," CALLE DEL CAMINO DE LOS VINATEROS, 28",28,24,-3.6573999,-3.6573999  40.4105519,40.4105519
219, MORATALAZ,MARROQUINA, CALLE DEL CAMINO DE LOS VINATEROS," CALLE DEL CAMINO DE LOS VINATEROS, 108",108,24,-3.6467783,-3.6467783  40.4083961,40.4083961
220, MORATALAZ,MEDIA LEGUA, CALLE DEL ARROYO DE LAS PILILLAS," CALLE DEL ARROYO DE LAS PILILLAS, 4",4,24,-3.6514264,-3.6514264  40.4061548,40.4061548
221, MORATALAZ,PAVONES, CALLE DE LA HACIENDA DE PAVONES," CALLE DE LA HACIENDA DE PAVONES, 346",346,24,-3.6346859,-3.6346859  40.4004579,40.4004579
222, USERA,MOSCARDÓ, CALLE DE EUGENIO CAXES," CALLE DE EUGENIO CAXES, 5",5,24,-3.7026887,-3.7026887  40.3917816,40.3917816
