Numero,Distrito,wikiDistrito,Barrio,wikiBarrio,Calle,Direccion,N_Finca,Numero_de_Plazas,Ciudad,wikiCiudad,Longitud,Point,Latitud
175,Arganzuela,http://www.wikidata.org/entity/Q2000929,La Chopera,http://www.wikidata.org/entity/Q3773750,CALLE_DE_JAIME_EL_CONQUISTADOR,"CALLE DE JAIME EL CONQUISTADOR, 30",30,21,Madrid,http://www.wikidata.org/entity/Q2807,-3.6983033,POINT(-3.6983033  40.3962687),40.3962687
176,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Delicias,http://www.wikidata.org/entity/Q3773736,CALLE_DE_ALICANTE,"CALLE DE ALICANTE, 3",3,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6936302,POINT(-3.6936302  40.3942411),40.3942411
177,Arganzuela,http://www.wikidata.org/entity/Q2000929,Las Delicias,http://www.wikidata.org/entity/Q3773736,CALLE_DE_BOLIVAR,"CALLE DE BOLIVAR, 3",3,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.694087,POINT(-3.694087  40.3915019),40.3915019
178,Retiro,http://www.wikidata.org/entity/Q2002296,Pacífico,http://www.wikidata.org/entity/Q3773753,CALLE_DE_LEON_GIL_DE_PALACIO,"CALLE DE LEON GIL DE PALACIO, 1",1,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6788939,POINT(-3.6788939  40.4030242),40.4030242
179,Puente de Vallecas,http://www.wikidata.org/entity/Q2003054,San Diego,http://www.wikidata.org/entity/Q11946851,AUTOVIA_M-30,"AUTOVIA M-30, S/N",S/N,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6690602,POINT(-3.6690602  40.3979341),40.3979341
180,Arganzuela,http://www.wikidata.org/entity/Q2000929,Atocha,http://www.wikidata.org/entity/Q3814594,CALLE_DE_LA_RETAMA,"CALLE DE LA RETAMA, 5",5,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6759244,POINT(-3.6759244  40.3941252),40.3941252
181,Retiro,http://www.wikidata.org/entity/Q2002296,Ibiza,http://www.wikidata.org/entity/Q15249910,CALLE_DE_IBIZA,"CALLE DE IBIZA, 18",18,27,Madrid,http://www.wikidata.org/entity/Q2807,-3.67664,POINT(-3.67664  40.4181748),40.4181748
182,Retiro,http://www.wikidata.org/entity/Q2002296,Estrella,http://www.wikidata.org/entity/Q3773738,CALLE_DEL_ALCALDE_SAINZ_DE_BARANDA,"CALLE DEL ALCALDE SAINZ DE BARANDA, 90",90,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6655023,POINT(-3.6655023  40.4187145),40.4187145
183,Salamanca,http://www.wikidata.org/entity/Q1773521,Goya,http://www.wikidata.org/entity/Q3814578,CALLE_DE_HERMOSILLA,"CALLE DE HERMOSILLA, 135",135,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6694506,POINT(-3.6694506  40.4256358),40.4256358
184,Salamanca,http://www.wikidata.org/entity/Q1773521,Fuente del Berro,http://www.wikidata.org/entity/Q3814564,PASEO_DEL_MARQUES_DE_ZAFRA,"PASEO DEL MARQUES DE ZAFRA, 24",24,24,Madrid,http://www.wikidata.org/entity/Q2807,-3.6653095,POINT(-3.6653095  40.4260023),40.4260023
