Tipo Contenedor;Distrito;Tipo Vía;Nombre;Número;LONGITUD;LATITUD;DIRECCION
ENVASES;CARABANCHEL;CAMINO; de las Cruces;;-3,756042;40,37407;Camino  de las Cruces,
ENVASES;CARABANCHEL;CALLE;de Albares de la Ribera;;-3,7405871;40,3744151;Calle  de Albares de la Ribera,
ENVASES;CARABANCHEL;CALLE;de Albares de la Ribera;;-3,7413301;40,37426;Calle  de Albares de la Ribera,
ENVASES;CARABANCHEL;CALLE;de Carcastillo;;-3,738159;40,3774541;Calle  de Carcastillo,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,670235;40,372764;Ronda  del Sur,
ENVASES;PUENTE DE VALLECAS;CALLE;del Cabo de Tarifa;;-3,659386;40,370722;Calle  del Cabo de Tarifa,
ENVASES;VILLA DE VALLECAS;CALLE;de la Sierra de Tornavacas;;-3,626921;40,3775291;Calle  de la Sierra de Tornavacas,
ENVASES;CARABANCHEL;PASEO;de San Illán;;-3,720274;40,3990101;Paseo  de San Illán,
ENVASES;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,6516561;40,4011851;Calle  de Ramón Pérez de Ayala,
ENVASES;CARABANCHEL;PASEO;de Santa María de la Cabeza;;-3,708366;40,3917401;Paseo  de Santa María de la Cabeza,
ENVASES;CARABANCHEL;AVENIDA;de NuestrSeñorde Fátima;;-3,747486;40,3832281;Avenida de NuestrSeñorde Fátima,
ENVASES;VILLAVERDE;CALLE;de La Canción del Olvido;;-3,698234;40,361049;Calle  de La Canción del Olvido,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,669873;40,3755941;Ronda  del Sur,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,670644;40,3749081;Ronda  del Sur,
ENVASES;USERA;CALLE;de Antonio López;;-3,698396;40,387442;Calle  de Antonio López,
ENVASES;VILLA DE VALLECAS;CAMINO; de Vasares;;-3,613008;40,38274;Camino  de Vasares,
ENVASES;USERA;PASEO;de Santa María de la Cabeza;;-3,715035;40,387226;Paseo  de Santa María de la Cabeza,
ENVASES;PUENTE DE VALLECAS;AVENIDA;de Entrevías;;-3,666196;40,3794371;Avenida de Entrevías,
ENVASES;CARABANCHEL;CALLE;de Juan Pérez Almeida;;-3,715122;40,390775;Calle  de Juan Pérez Almeida,
ENVASES;PUENTE DE VALLECAS;AVENIDA;de Entrevías;;-3,660515;40,376726;Avenida de Entrevías,
ENVASES;PUENTE DE VALLECAS;RONDA;del Sur;;-3,6725349;40,377095;Ronda  del Sur,
ENVASES;CARABANCHEL;CALLE;de Juan Pérez Almeida;;-3,715229;40,3902471;Calle  de Juan Pérez Almeida,
ENVASES;CARABANCHEL;CALLE;del Parque de Eugenia de Montijo;;-3,753767;40,3788181;Calle  del Parque de Eugenia de Montijo,
ENVASES;CARABANCHEL;CALLE;del Parque de Eugenia de Montijo;;-3,752989;40,379215;Calle  del Parque de Eugenia de Montijo,
ENVASES;CARABANCHEL;CALLE;del Parque de Eugenia de Montijo;;-3,7523289;40,379533;Calle  del Parque de Eugenia de Montijo,
ENVASES;VILLAVERDE;CALLE;del Doctor Martín Arévalo;;-3,702673;40,3464;Calle  del Doctor Martín Arévalo,
ENVASES;CARABANCHEL;CALLE;de Belzunegui;;-3,738986;40,3749221;Calle  de Belzunegui,
ENVASES;CARABANCHEL;CALLE;de Belzunegui;;-3,738956;40,375571;Calle  de Belzunegui,
ENVASES;VILLAVERDE;CALLE;del Doctor Martín Arévalo;;-3,704012;40,346176;Calle  del Doctor Martín Arévalo,
ENVASES;CARABANCHEL;CALLE;de Belzunegui;;-3,739067;40,3762281;Calle  de Belzunegui,
ENVASES;VILLAVERDE;CALLE;de Santa Escolástica;;-3,699313;40,3623521;Calle  de Santa Escolástica,
ENVASES;VILLA DE VALLECAS;CALLE;de la Sierra Vieja;;-3,629164;40,377238;Calle  de la Sierra Vieja,
ENVASES;VILLAVERDE;CALLE;de Alcocer;;-3,7049009;40,350974;Calle  de Alcocer,
ENVASES;PUENTE DE VALLECAS;CALLE;de Nuestra Señora del Perpetuo Socorro;;-3,6621351;40,393459;Calle  de Nuestra Señora del Perpetuo Socorro,
ENVASES;PUENTE DE VALLECAS;CALLE;de Javier de Miguel;;-3,663101;40,388757;Calle  de Javier de Miguel,
ENVASES;CARABANCHEL;CALLE;de Mercedes Arteaga;;-3,720996;40,394329;Calle  de Mercedes Arteaga,
ENVASES;VILLAVERDE;CALLE;de Anoeta;;-3,7037419;40,350538;Calle  de Anoeta,
ENVASES;VILLAVERDE;CALLE;de Anoeta;;-3,700654;40,352051;Calle  de Anoeta,
ENVASES;CARABANCHEL;CALLE;de Zaida;;-3,735728;40,3937871;Calle  de Zaida,
ENVASES;CARABANCHEL;CALLE;del El Toboso;;-3,7371369;40,3928211;Calle  del El Toboso,
ENVASES;CARABANCHEL;CALLE;de Algodre;;-3,739106;40,391097;Calle  de Algodre,
ENVASES;CARABANCHEL;CALLE;del El Toboso;;-3,736148;40,393056;Calle  del El Toboso,
ENVASES;CARABANCHEL;CALLE;de Juan Pérez Almeida;;-3,715553;40,3891861;Calle  de Juan Pérez Almeida,
ENVASES;CARABANCHEL;CALLE;de Zaida;;-3,735284;40,396035;Calle  de Zaida,
ENVASES;VILLAVERDE;PASEO;de Ferroviarios;;-3,715703;40,347306;Paseo  de Ferroviarios,
ENVASES;PUENTE DE VALLECAS;AVENIDA;de lAlbufera;;-3,647463;40,390473;Avenida de lAlbufera,
ENVASES;PUENTE DE VALLECAS;CALLE;Carlos Martín Álvarez;;-3,663612;40,3893361;Calle  Carlos Martín Álvarez,
ENVASES;CARABANCHEL;CALLE;de Clara Campoamor;;-3,73313;40,382092;Calle  de Clara Campoamor,
ENVASES;CARABANCHEL;CALLE;de Clara Campoamor;;-3,732871;40,3799391;Calle  de Clara Campoamor,
ENVASES;CARABANCHEL;CALLE;de Clara Campoamor;;-3,734072;40,3856761;Calle  de Clara Campoamor,
ENVASES;CARABANCHEL;CALLE;de Clara Campoamor;;-3,733522;40,3846861;Calle  de Clara Campoamor,
ENVASES;CARABANCHEL;CALLE;de Clara Campoamor;;-3,733093;40,3815221;Calle  de Clara Campoamor,
ENVASES;CARABANCHEL;CALLE;de Clara Campoamor;;-3,732967;40,380485;Calle  de Clara Campoamor,
ENVASES;VILLA DE VALLECAS;CALLE;de Diego Olivera Victorio;;-3,613602;40,3835651;Calle  de Diego Olivera Victorio,
ENVASES;PUENTE DE VALLECAS;CALLE;de Carlos Solé;;-3,647678;40,3911681;Calle  de Carlos Solé,
ENVASES;VILLAVERDE;CALLE;de Clara Schumann;;-3,686978;40,3551961;Calle  de Clara Schumann,
ENVASES;USERA;PASEO;de Santa María de la Cabeza;;-3,713297;40,38886;Paseo  de Santa María de la Cabeza,
ENVASES;VILLAVERDE;CALLE;de Alcocer;;-3,6964079;40,350444;Calle  de Alcocer,
ENVASES;VILLA DE VALLECAS;CALLE;de la Sierra de Tornavacas;;-3,627456;40,378039;Calle  de la Sierra de Tornavacas,
ENVASES;PUENTE DE VALLECAS;CALLE;del Teniente Muñoz Díaz;;-3,658515;40,39086;Calle  del Teniente Muñoz Díaz,
ENVASES;VILLAVERDE;CALLE;de Puebla de Sanabria;;-3,709067;40,3520241;Calle  de Puebla de Sanabria,
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,64238;40,390325;Calle  de San Claudio,
ENVASES;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,637912;40,389626;Calle  de San Claudio,
ENVASES;CARABANCHEL;VIA;Lusitana;;-3,72393;40,382525;Vía Lusitana,
ENVASES;CARABANCHEL;VIA;Lusitana;;-3,723399;40,3828491;Vía Lusitana,
