Tipo Contenedor;Distrito;Tipo Vía;Nombre;Número;LONGITUD;LATITUD;DIRECCION
ORGANICA;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,6516561;40,4011851;Calle  de Ramón Pérez de Ayala,
ORGANICA;VILLAVERDE;CALLE;de La Canción del Olvido;;-3,698234;40,361049;Calle  de La Canción del Olvido,
ORGANICA;PUENTE DE VALLECAS;RONDA;del Sur;;-3,669873;40,3755941;Ronda  del Sur,
ORGANICA;PUENTE DE VALLECAS;RONDA;del Sur;;-3,670644;40,3749081;Ronda  del Sur,
ORGANICA;PUENTE DE VALLECAS;PASAJE; de Adra;;-3,648716;40,3906521;Pasaje  de Adra,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Pont de Molins;;-3,643834;40,392719;Calle  de Pont de Molins,
ORGANICA;VILLA DE VALLECAS;CALLE;de Villar del Olmo;;-3,624382;40,375908;Calle  de Villar del Olmo,
ORGANICA;PUENTE DE VALLECAS;AVENIDA;de Entrevías;;-3,660515;40,376726;Avenida de Entrevías,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Jadraque;;-3,648666;40,3966281;Calle  de Jadraque,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Nuestra Señora del Perpetuo Socorro;;-3,6621351;40,393459;Calle  de Nuestra Señora del Perpetuo Socorro,
ORGANICA;VILLAVERDE;CALLE;La del Manojo de Rosas;;-3,698834;40,354875;Calle  La del Manojo de Rosas,
ORGANICA;PUENTE DE VALLECAS;RONDA;del Sur;;-3,6725349;40,377095;Ronda  del Sur,
ORGANICA;PUENTE DE VALLECAS;CALLE;de los Riojanos;;-3,6438501;40,3870841;Calle  de los Riojanos,
ORGANICA;VILLAVERDE;CALLE;de Burjasot;;-3,687322;40,345216;Calle  de Burjasot,
ORGANICA;PUENTE DE VALLECAS;CALLE;de la Vedra;;-3,663859;40,3768731;Calle  de la Vedra,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Montánchez;;-3,668701;40,375089;Calle  de Montánchez,
ORGANICA;VILLAVERDE;CALLE;de Santa Escolástica;;-3,699313;40,3623521;Calle  de Santa Escolástica,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Arenas de Iguña;;-3,644038;40,390611;Calle  de Arenas de Iguña,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Benalmádena;;-3,638804;40,3854821;Calle  de Benalmádena,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Santa Rafaela María del Sagrado Corazón;;-3,672927;40,378817;Calle  de Santa Rafaela María del Sagrado Corazón,
ORGANICA;PUENTE DE VALLECAS;CALLE;del Payaso Fofó;;-3,660341;40,3900371;Calle  del Payaso Fofó,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Javier de Miguel;;-3,663101;40,388757;Calle  de Javier de Miguel,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Guillermo Pingarrón;;-3,648509;40,387479;Calle  de Guillermo Pingarrón,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Pont de Molins;;-3,643943;40,3928261;Calle  de Pont de Molins,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Martínez de la Riva;;-3,666042;40,393317;Calle  de Martínez de la Riva,
ORGANICA;PUENTE DE VALLECAS;AVENIDA;de lAlbufera;;-3,647463;40,390473;Avenida de lAlbufera,
ORGANICA;PUENTE DE VALLECAS;CALLE;Carlos Martín Álvarez;;-3,663612;40,3893361;Calle  Carlos Martín Álvarez,
ORGANICA;PUENTE DE VALLECAS;CALLE;de la Vedra;;-3,66541;40,3760961;Calle  de la Vedra,
ORGANICA;VILLAVERDE;CALLE;de Eduardo Barreiros;;-3,70093;40,3612011;Calle  de Eduardo Barreiros,
ORGANICA;VILLAVERDE;CALLE;de Alcocer;;-3,6964079;40,350444;Calle  de Alcocer,
ORGANICA;VILLAVERDE;CALLE;de Pilar Lorengar;;-3,686082;40,353491;Calle  de Pilar Lorengar,
ORGANICA;VILLAVERDE;CALLE;del Americio;;-3,683271;40,35514;Calle  del Americio,
ORGANICA;VILLA DE VALLECAS;CALLE;del Puerto del Bruch;;-3,619657;40,382304;Calle  del Puerto del Bruch,
ORGANICA;VILLA DE VALLECAS;CALLE;del Puerto del Bruch;;-3,619321;40,3825501;Calle  del Puerto del Bruch,
ORGANICA;VILLA DE VALLECAS;CALLE;de Malpica de Tajo;;-3,621998;40,370071;Calle  de Malpica de Tajo,
ORGANICA;VILLA DE VALLECAS;CALLE;de la Sierra de Tornavacas;;-3,627456;40,378039;Calle  de la Sierra de Tornavacas,
ORGANICA;PUENTE DE VALLECAS;CALLE;del Teniente Muñoz Díaz;;-3,658515;40,39086;Calle  del Teniente Muñoz Díaz,
ORGANICA;VILLA DE VALLECAS;CALLE;de Cabeza Mesada;;-3,6232019;40,3724311;Calle  de Cabeza Mesada,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Montánchez;;-3,668677;40,375105;Calle  de Montánchez,
ORGANICA;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,64238;40,390325;Calle  de San Claudio,
ORGANICA;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,637912;40,389626;Calle  de San Claudio,
ORGANICA;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,641892;40,3884661;Calle  de San Claudio,
ORGANICA;PUENTE DE VALLECAS;CALLE;Convenio;;-3,67168;40,3894761;Calle  Convenio,
ORGANICA;PUENTE DE VALLECAS;AVENIDA;de Pablo Neruda;;-3,643122;40,389786;Avenida de Pablo Neruda,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Andévalo;;-3,667908;40,3741751;Calle  de Andévalo,
PAPEL-CARTON;VILLAVERDE;;;;-3,695717;40,346697;,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de lPlazde Toros;;-3,737857;40,3857651;Avenida de lPlazde Toros,
PAPEL-CARTON;VILLAVERDE;AVENIDA;de los Rosales;;-3,681427;40,3560111;Avenida de los Rosales,
PAPEL-CARTON;CARABANCHEL;CALLE;de Albares de la Ribera;;-3,74093;40,3743521;Calle  de Albares de la Ribera,
PAPEL-CARTON;VILLAVERDE;CALLE;de Anoeta;;-3,703703;40,3505491;Calle  de Anoeta,
PAPEL-CARTON;VILLAVERDE;CALLE;de Anoeta;;-3,701284;40,3515011;Calle  de Anoeta,
PAPEL-CARTON;CARABANCHEL;CALLE;de Antonio Romero;;-3,731333;40,3737341;Calle  de Antonio Romero,
PAPEL-CARTON;VILLAVERDE;CALLE;de Arechavaleta;;-3,696895;40,3520371;Calle  de Arechavaleta,
PAPEL-CARTON;PUENTE DE VALLECAS;AVENIDA;de Entrevías;;-3,666155;40,379415;Avenida de Entrevías,
PAPEL-CARTON;VILLAVERDE;CALLE;de Burjasot;;-3,692275;40,3450841;Calle  de Burjasot,
PAPEL-CARTON;CARABANCHEL;CALLE;de Carcastillo;;-3,737236;40,3778551;Calle  de Carcastillo,
PAPEL-CARTON;CARABANCHEL;CALLE;de Consuelo Guzmán;;-3,753343;40,3764441;Calle  de Consuelo Guzmán,
PAPEL-CARTON;VILLAVERDE;CALLE;de Domingo Párraga;;-3,714349;40,3421571;Calle  de Domingo Párraga,
PAPEL-CARTON;VILLAVERDE;CALLE;de la Virgen de los Desamparados;;-3,698869;40,3514221;Calle  de la Virgen de los Desamparados,
PAPEL-CARTON;CARABANCHEL;CALLE;de Monseñor Óscar Romero;;-3,748939;40,382598;Calle  de Monseñor Óscar Romero,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,652557;40,3980381;Calle  de Ramón Pérez de Ayala,
PAPEL-CARTON;VILLAVERDE;CALLE;de Rocafort;;-3,6885891;40,3414571;Calle  de Rocafort,
PAPEL-CARTON;VILLAVERDE;CALLE;de San Jenaro;;-3,702666;40,3467111;Calle  de San Jenaro,
PAPEL-CARTON;VILLAVERDE;CALLE;de Villafuerte;;-3,689578;40,355795;Calle  de Villafuerte,
PAPEL-CARTON;VILLAVERDE;CALLE;del Arroyo Bueno;;-3,705461;40,348813;Calle  del Arroyo Bueno,
PAPEL-CARTON;CARABANCHEL;CALLE;del Arroyo Opañel;;-3,717687;40,3884051;Calle  del Arroyo Opañel,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;del Puerto de Balbarán;;-3,669872;40,38444;Calle  del Puerto de Balbarán,
PAPEL-CARTON;PUENTE DE VALLECAS;PLAZA;de la Sierra Carbonera;;-3,66486;40,3915621;Plaza  de la Sierra Carbonera,
PAPEL-CARTON;CARABANCHEL;CALLE;de la Fragata;;-3,735786;40,3938631;Calle  de la Fragata,
PAPEL-CARTON;USERA;CALLE;de Periana;;-3,688234;40,3678;Calle  de Periana,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,651081;40,362209;,
PAPEL-CARTON;VILLAVERDE;AVENIDA;Real de Pinto;;-3,710567;40,3373361;Avenida Real de Pinto,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;de González Dávila;;-3,639346;40,3767881;Calle  de González Dávila,
PAPEL-CARTON;VILLAVERDE;CALLE;de Huerta de Villaverde;;-3,711587;40,348302;Calle  de Huerta de Villaverde,
PAPEL-CARTON;VILLA DE VALLECAS;CARRETERA;de Villaverde a Vallecas;;-3,63108;40,376439;Carretera de Villaverde a Vallecas,
PAPEL-CARTON;PUENTE DE VALLECAS;AVENIDA;de lAlbufera;;-3,6413399;40,388339;Avenida de lAlbufera,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de lGavia;;-3,6093601;40,3760971;Avenida de lGavia,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de lSalmedina;;-3,5999999;40,3591981;Avenida de lSalmedina,
PAPEL-CARTON;VILLAVERDE;AVENIDA;de los Rosales;;-3,679072;40,352879;Avenida de los Rosales,
PAPEL-CARTON;PUENTE DE VALLECAS;AVENIDA;de Pablo Neruda;;-3,64458;40,3884851;Avenida de Pablo Neruda,
PAPEL-CARTON;USERA;AVENIDA;de RafaelYbarra;;-3,712341;40,369432;Avenida de RafaelYbarra,
PAPEL-CARTON;PUENTE DE VALLECAS;AVENIDA;del PoetMiguel Hernández;;-3,634757;40,391305;Avenida del PoetMiguel Hernández,
PAPEL-CARTON;VILLAVERDE;AVENIDA;Real de Pinto;;-3,714151;40,3317461;Avenida Real de Pinto,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;Convenio;;-3,672054;40,3908391;Calle  Convenio,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;Cuarenta y tres Mercamadrid;;-3,659642;40,3643371;Calle  Cuarenta y tres Mercamadrid,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de Almuradiel;;-3,673253;40,3798691;Calle  de Almuradiel,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de Candilejas;;-3,662479;40,3837531;Calle  de Candilejas,
PAPEL-CARTON;CARABANCHEL;CALLE;de Clara Campoamor;;-3,732874;40,3799941;Calle  de Clara Campoamor,
PAPEL-CARTON;VILLAVERDE;CALLE;de Clara Schumann;;-3,6858441;40,3551221;Calle  de Clara Schumann,
PAPEL-CARTON;CARABANCHEL;CALLE;de Fernando Delgado;;-3,748773;40,3833051;Calle  de Fernando Delgado,
PAPEL-CARTON;VILLAVERDE;CALLE;de Francisco del Pino;;-3,6917341;40,349706;Calle  de Francisco del Pino,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;de la Gavia Seca;;-3,619971;40,377754;Calle  de la Gavia Seca,
PAPEL-CARTON;CARABANCHEL;CALLE;de Jacobinia;;-3,754057;40,3775681;Calle  de Jacobinia,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de José Paulete;;-3,652148;40,393397;Calle  de José Paulete,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de la Cooperativa Eléctrica;;-3,658316;40,3739291;Calle  de la Cooperativa Eléctrica,
PAPEL-CARTON;VILLA DE VALLECAS;PLAZA;de la Sierra de Magina;;-3,6219479;40,3763281;Plaza  de la Sierra de Magina,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;de la Sierra Vieja;;-3,629127;40,3772361;Calle  de la Sierra Vieja,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de los Andaluces del Pozo;;-3,65967;40,3715771;Calle  de los Andaluces del Pozo,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de Najarra;;-3,658654;40,375611;Calle  de Najarra,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;de Malpica de Tajo;;-3,621991;40,370044;Calle  de Malpica de Tajo,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de Ramón Pérez de Ayala;;-3,6501719;40,39996;Calle  de Ramón Pérez de Ayala,
PAPEL-CARTON;USERA;CALLE;de Ricardo Beltrán y Rózpide;;-3,71728;40,382305;Calle  de Ricardo Beltrán y Rózpide,
PAPEL-CARTON;USERA;CALLE;de Ricardo Beltrán y Rózpide;;-3,715294;40,3827571;Calle  de Ricardo Beltrán y Rózpide,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de San Claudio;;-3,637617;40,3895231;Calle  de San Claudio,
PAPEL-CARTON;USERA;CALLE;de Santa María Reina;;-3,696925;40,370397;Calle  de Santa María Reina,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;del Cabo Machichaco;;-3,6608291;40,372472;Calle  del Cabo Machichaco,
PAPEL-CARTON;USERA;CALLE;del Camino Viejo de Villaverde;;-3,711002;40,369276;Calle  del Camino Viejo de Villaverde,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;del Puerto de Balbarán;;-3,667434;40,381411;Calle  del Puerto de Balbarán,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;del Puerto de Lumbreras;;-3,620982;40,3818711;Calle  del Puerto de Lumbreras,
PAPEL-CARTON;USERA;PLAZA;de los Mil Delegados;;-3,706099;40,369578;Plaza  de los Mil Delegados,
PAPEL-CARTON;VILLAVERDE;CALLE;La del Manojo de Rosas;;-3,697152;40,3580031;Calle  La del Manojo de Rosas,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;Siete Mercamadrid;;-3,671228;40,357868;Calle  Siete Mercamadrid,
PAPEL-CARTON;CARABANCHEL;PLAZA;de Alloz;;-3,7365949;40,3761771;Plaza  de Alloz,
PAPEL-CARTON;VILLA DE VALLECAS;PLAZA;de Antonio María Segovia;;-3,612743;40,380961;Plaza  de Antonio María Segovia,
PAPEL-CARTON;CARABANCHEL;VIA;Lusitana;;-3,72323;40,382924;Vía Lusitana,
PAPEL-CARTON;CARABANCHEL;CALLE;de Antonio Romero;;-3,731333;40,3737341;Calle  de Antonio Romero,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,652514;40,361263;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,652774;40,364073;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,650513;40,364179;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,653581;40,363501;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,6536361;40,362353;,
PAPEL-CARTON;VILLAVERDE;CALLE;de la Resina;;-3,709248;40,3357291;Calle  de la Resina,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,653607;40,36248;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,6518249;40,361647;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,653061;40,362793;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,652687;40,364008;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,651217;40,36389;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,651164;40,363843;,
PAPEL-CARTON;VILLA DE VALLECAS;;;;-3,650448;40,364329;,
PAPEL-CARTON;VILLAVERDE;;;;-3,6953739;40,34713;,
RESTO;VILLAVERDE;CALLE;Godella;;-3,688088;40,3399781;Calle  Godella,
PAPEL-CARTON;CARABANCHEL;CALLE;de Clara Campoamor;;-3,733153;40,3821201;Calle  de Clara Campoamor,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Madrid Mercamadrid;;-3,662208;40,359105;Avenida de Madrid Mercamadrid,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de Abrantes;;-3,727888;40,3809111;Avenida de Abrantes,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de Abrantes;;-3,727975;40,380938;Avenida de Abrantes,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de ArganzuelMercamadrid;;-3,667775;40,3580961;Avenida de ArganzuelMercamadrid,
PAPEL-CARTON;USERA;AVENIDA;de Córdoba;;-3,697451;40,3825431;Avenida de Córdoba,
PAPEL-CARTON;PUENTE DE VALLECAS;PLAZA;de Mariana Pineda;;-3,656951;40,3922521;Plaza  de Mariana Pineda,
PAPEL-CARTON;PUENTE DE VALLECAS;AVENIDA;de lAlbufera;;-3,6475119;40,3904901;Avenida de lAlbufera,
PAPEL-CARTON;PUENTE DE VALLECAS;AVENIDA;de lAlbufera;;-3,6442241;40,3895491;Avenida de lAlbufera,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de lGran Vídel Sureste;;-3,593303;40,3573981;Avenida de lGran Vídel Sureste,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de lGran Vídel Sureste;;-3,587651;40,364401;Avenida de lGran Vídel Sureste,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de lPeseta;;-3,762221;40,363173;Avenida de lPeseta,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de lPeseta;;-3,761358;40,362908;Avenida de lPeseta,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de lPeseta;;-3,759174;40,362699;Avenida de lPeseta,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de lPeseta;;-3,760263;40,362748;Avenida de lPeseta,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de lPeseta;;-3,758209;40,36229;Avenida de lPeseta,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de lPeseta;;-3,762776;40,364462;Avenida de lPeseta,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;Veinte Mercamadrid;;-3,6649669;40,3565271;Calle  Veinte Mercamadrid,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de lSalmedina;;-3,597444;40,357928;Avenida de lSalmedina,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de lSalmedina;;-3,6049851;40,36301;Avenida de lSalmedina,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de lSalmedina;;-3,604132;40,36261;Avenida de lSalmedina,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Las Suertes;;-3,592464;40,3636311;Avenida de Las Suertes,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Legazpi Mercamadrid;;-3,6613751;40,360546;Avenida de Legazpi Mercamadrid,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Legazpi Mercamadrid;;-3,659996;40,36138;Avenida de Legazpi Mercamadrid,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Legazpi Mercamadrid;;-3,6591149;40,3619051;Avenida de Legazpi Mercamadrid,
PAPEL-CARTON;USERA;AVENIDA;de los Poblados;;-3,698982;40,370888;Avenida de los Poblados,
PAPEL-CARTON;USERA;AVENIDA;de los Poblados;;-3,697036;40,3709871;Avenida de los Poblados,
PAPEL-CARTON;VILLAVERDE;AVENIDA;de los Rosales;;-3,679912;40,3537981;Avenida de los Rosales,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Madrid Mercamadrid;;-3,6634251;40,361081;Avenida de Madrid Mercamadrid,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Madrid Mercamadrid;;-3,662455;40,3600641;Avenida de Madrid Mercamadrid,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de NuestrSeñorde Fátima;;-3,747485;40,38324;Avenida de NuestrSeñorde Fátima,
PAPEL-CARTON;CARABANCHEL;CALLE;de Fontiveros;;-3,746271;40,3849201;Calle  de Fontiveros,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de los Vecinos del Pozo;;-3,659638;40,375357;Calle  de los Vecinos del Pozo,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de NuestrSeñorde Valvanera;;-3,7386311;40,3916721;Avenida de NuestrSeñorde Valvanera,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de NuestrSeñorde Valvanera;;-3,735204;40,389956;Avenida de NuestrSeñorde Valvanera,
PAPEL-CARTON;CARABANCHEL;AVENIDA;de Oporto;;-3,725878;40,385717;Avenida de Oporto,
PAPEL-CARTON;USERA;AVENIDA;de Orcasur;;-3,700298;40,3681261;Avenida de Orcasur,
PAPEL-CARTON;VILLAVERDE;CALLE;de Andrea Jordán;;-3,686292;40,353219;Calle  de Andrea Jordán,
PAPEL-CARTON;PUENTE DE VALLECAS;PLAZA;de La Constitución;;-3,649066;40,386002;Plaza  de La Constitución,
PAPEL-CARTON;USERA;AVENIDA;de RafaelYbarra;;-3,711335;40,383203;Avenida de RafaelYbarra,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de Mercator;;-3,629361;40,3896711;Calle  de Mercator,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;de Mercator;;-3,629361;40,3896711;Calle  de Mercator,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Valdeculebras;;-3,5902249;40,356078;Avenida de Valdeculebras,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Valdeculebras;;-3,5859321;40,358796;Avenida de Valdeculebras,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Valdeculebras;;-3,58429;40,362396;Avenida de Valdeculebras,
PAPEL-CARTON;PUENTE DE VALLECAS;AVENIDA;del Campus Sur;;-3,62841;40,387857;Avenida del Campus Sur,
PAPEL-CARTON;PUENTE DE VALLECAS;AVENIDA;de lPolitécnica;;-3,6284189;40,39081;Avenida de lPolitécnica,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Cerro Milano;;-3,584707;40,3581091;Avenida del Cerro Milano,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Cerro Milano;;-3,605725;40,362139;Avenida del Cerro Milano,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,609151;40,368321;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,602276;40,3652871;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,600119;40,364216;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,593975;40,3607731;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,600918;40,364603;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,612192;40,370172;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,6102229;40,369203;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,61249;40,369832;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,593227;40,360405;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;CARABANCHEL;AVENIDA;del Manzanares;;-3,71104;40,3965821;Avenida del Manzanares,
PAPEL-CARTON;PUENTE DE VALLECAS;AVENIDA;del Parque de Palomeras Bajas;;-3,656587;40,377948;Avenida del Parque de Palomeras Bajas,
PAPEL-CARTON;VILLAVERDE;AVENIDA;Real de Pinto;;-3,709528;40,338578;Avenida Real de Pinto,
PAPEL-CARTON;VILLAVERDE;AVENIDA;Real de Pinto;;-3,712327;40,334923;Avenida Real de Pinto,
PAPEL-CARTON;VILLAVERDE;AVENIDA;Real de Pinto;;-3,712209;40,334543;Avenida Real de Pinto,
PAPEL-CARTON;VILLAVERDE;AVENIDA;Real de Pinto;;-3,711036;40,336679;Avenida Real de Pinto,
PAPEL-CARTON;VILLAVERDE;AVENIDA;Real de Pinto;;-3,713474;40,3325301;Avenida Real de Pinto,
PAPEL-CARTON;ARGANZUELA;CALLE;30;;-3,688553;40,3892811;Calle  30,
PAPEL-CARTON;ARGANZUELA;PASEO;de la Virgen del Puerto;;-3,722185;40,405416;Paseo  de la Virgen del Puerto,
PAPEL-CARTON;VILLAVERDE;CALLE;Augustobriga;;-3,683229;40,3579171;Calle  Augustobriga,
PAPEL-CARTON;VILLAVERDE;CALLE;Augustobriga;;-3,683753;40,357424;Calle  Augustobriga,
PAPEL-CARTON;VILLAVERDE;CALLE;Augustobriga;;-3,682929;40,3582611;Calle  Augustobriga,
PAPEL-CARTON;CARABANCHEL;CALLE;del Camino Viejo de Leganés;;-3,733834;40,3766681;Calle  del Camino Viejo de Leganés,
PAPEL-CARTON;VILLA DE VALLECAS;BULEVAR;de la Naturaleza;;-3,630415;40,371764;Bulevar de la Naturaleza,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;Carlos Martín Álvarez;;-3,663593;40,389355;Calle  Carlos Martín Álvarez,
PAPEL-CARTON;PUENTE DE VALLECAS;CALLE;del Puerto de Almansa;;-3,672406;40,3926801;Calle  del Puerto de Almansa,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;de Legazpi Mercamadrid;;-3,658208;40,3624401;Avenida de Legazpi Mercamadrid,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;Cuarenta y ocho Mercamadrid;;-3,656238;40,360782;Calle  Cuarenta y ocho Mercamadrid,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;Cuarenta y tres Mercamadrid;;-3,662566;40,3626391;Calle  Cuarenta y tres Mercamadrid,
PAPEL-CARTON;ARGANZUELA;CALLE;de Ricardo Goizueta;;-3,6923211;40,387795;Calle  de Ricardo Goizueta,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;Siete Mercamadrid;;-3,670948;40,357943;Calle  Siete Mercamadrid,
PAPEL-CARTON;VILLA DE VALLECAS;CALLE;de Silvina Ocampo;;-3,5957791;40,364172;Calle  de Silvina Ocampo,
PAPEL-CARTON;USERA;CALLE;de Adora;;-3,6884609;40,36892;Calle  de Adora,
PAPEL-CARTON;CARABANCHEL;CALLE;de Alba de Tormes;;-3,743199;40,378367;Calle  de Alba de Tormes,
PAPEL-CARTON;CARABANCHEL;CALLE;de Albox;;-3,7427631;40,373543;Calle  de Albox,
PAPEL-CARTON;USERA;AVENIDA;de Orcasur;;-3,700741;40,366293;Avenida de Orcasur,
PAPEL-CARTON;VILLA DE VALLECAS;AVENIDA;del Ensanche de Vallecas;;-3,595107;40,361725;Avenida del Ensanche de Vallecas,
PAPEL-CARTON;CARABANCHEL;CALLE;de Alfonso Martínez Conde;;-3,730652;40,3809561;Calle  de Alfonso Martínez Conde,
PAPEL-CARTON;USERA;CALLE;de Alozaina;;-3,690331;40,3701441;Calle  de Alozaina,
PAPEL-CARTON;VILLAVERDE;CALLE;de Amadeo Fernández;;-3,705348;40,344287;Calle  de Amadeo Fernández,
PAPEL-CARTON;ARGANZUELA;CALLE;de Amaltea;;-3,684924;40,396526;Calle  de Amaltea,
PAPEL-CARTON;CARABANCHEL;CALLE;de Antonia Rodríguez Sacristán;;-3,744056;40,372788;Calle  de Antonia Rodríguez Sacristán,
