IDENTIFICADOR,TIPO CONTENEDOR,DESCRIPCION MODELO,CANTIDAD,LOTE,DISTRITO,URI distrito,NOMBRE,NUMERO,LONGITUD,LATITUD,DIRECCION COMPLETA
"Organic/-3,6992728_40,4614964",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Ceuta,4,-3.6992728,40.4614964,"Calle Ceuta, 4"
"Waste/-3,7030603_40,463152",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Marques de viana,58,-3.7030603,40.463152,"Calle Marques de viana, 58"
"Organic/-3,7030603_40,463152",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Marques de viana,58,-3.7030603,40.463152,"Calle Marques de viana, 58"
"Organic/-3,7001841_40,4691392",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Divino redentor,57,-3.7001841,40.4691392,"Calle Divino redentor, 57"
"Organic/-3,7014404_40,4692157",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Arroyo,14,-3.7014404,40.4692157,"Calle Arroyo, 14"
"Waste/-3,7014404_40,4692157",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Arroyo,14,-3.7014404,40.4692157,"Calle Arroyo, 14"
"Organic/-3,7053006_40,4568826",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Villaamil,5,-3.7053006,40.4568826,"Calle Villaamil, 5"
"Waste/-3,7068281_40,4584916",Waste,Res 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Villaamil,27,-3.7068281,40.4584916,"Calle Villaamil, 27"
"Glass/-3,7560965_40,3880262",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Camarena,195,-3.7560965,40.3880262,"Calle Camarena, 195"
"Glass/-3,7560965_40,3880262",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Camarena,195,-3.7560965,40.3880262,"Calle Camarena, 195"
"Glass/-3,7037765_40,4124748",Glass,V 2200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Plaza Tirso de molina,19,-3.7037765,40.4124748,"Plaza Tirso de molina, 19"
"Packaging/-3,7037765_40,4124748",Packaging,Env 3200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Plaza Tirso de molina,19,-3.7037765,40.4124748,"Plaza Tirso de molina, 19"
"Waste/-3,6897357_40,4866533",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Virgen de aranzazu,23,-3.6897357,40.4866533,"Calle Virgen de aranzazu, 23"
"Waste/-3,6892155_40,4871767",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Angel mugica,54,-3.6892155,40.4871767,"Calle Angel mugica, 54"
"Waste/-3,7176583_40,4551303",Waste,Res 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Calle Pirineos,37,-3.7176583,40.4551303,"Calle Pirineos, 37"
"Glass/-3,7691695_40,3970086",Glass,V 2200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Carballino,12,-3.7691695,40.3970086,"Calle Carballino, 12"
"Paper-Cardboard/-3,7726136_40,3945274",Paper-Cardboard,PC 3200 CL,1,1,Latina,http://www.wikidata.org/entity/Q794954,Carretera Carabanchel a aravaca,7,-3.7726136,40.3945274,"Carretera Carabanchel a aravaca, 7"
"Waste/-3,7185287_40,4952465",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida Ventisquero de la condesa,50,-3.7185287,40.4952465,"Avenida Ventisquero de la condesa, 50"
"Glass/-3,7095191_40,4284289",Glass,V 2200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Calle Amaniel,40,-3.7095191,40.4284289,"Calle Amaniel, 40"
"Paper-Cardboard/-3,7095191_40,4284289",Paper-Cardboard,PC 3200 CL,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Calle Amaniel,40,-3.7095191,40.4284289,"Calle Amaniel, 40"
"Organic/-3,7011382_40,4621094",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Marques de viana,22,-3.7011382,40.4621094,"Calle Marques de viana, 22"
"Organic/-3,7011382_40,4621094",Organic,O 800,1,1,Tetuán,http://www.wikidata.org/entity/Q1773540,Calle Marques de viana,22,-3.7011382,40.4621094,"Calle Marques de viana, 22"
"Waste/-3,7182427_40,4204733",Waste,Res 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Paseo Rey,1,-3.7182427,40.4204733,"Paseo Rey, 1"
"Packaging/-3,6914373_40,4893853",Packaging,Env 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Xaudaro,15,-3.6914373,40.4893853,"Calle Xaudaro, 15"
"Waste/-3,6914373_40,4893853",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Xaudaro,15,-3.6914373,40.4893853,"Calle Xaudaro, 15"
"Waste/-3,7091684_40,4233804",Waste,Res 800,1,1,Centro,http://www.wikidata.org/entity/Q1763376,Plaza Mostenses,1,-3.7091684,40.4233804,"Plaza Mostenses, 1"
"Waste/-3,6947641_40,4896996",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Isla de sicilia,3,-3.6947641,40.4896996,"Calle Isla de sicilia, 3"
"Waste/-3,6947641_40,4896996",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Isla de sicilia,3,-3.6947641,40.4896996,"Calle Isla de sicilia, 3"
"Waste/-3,6947641_40,4896996",Waste,Res 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Calle Isla de sicilia,3,-3.6947641,40.4896996,"Calle Isla de sicilia, 3"
"Organic/-3,7297992_40,4281996",Organic,O 800,1,1,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,Plaza Almuñecar,4,-3.7297992,40.4281996,"Plaza Almuñecar, 4"
"Waste/-3,7657631_40,3758449",Waste,Res 800,1,1,Latina,http://www.wikidata.org/entity/Q794954,Calle Maestra justa freire,44,-3.7657631,40.3758449,"Calle Maestra justa freire, 44"
"Organic/-3,6880979_40,4761809",Organic,O 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida Monforte de lemos,2,-3.6880979,40.4761809,"Avenida Monforte de lemos, 2"
"Organic/-3,6880979_40,4761809",Organic,O 800,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Avenida Monforte de lemos,2,-3.6880979,40.4761809,"Avenida Monforte de lemos, 2"
"Glass/-3,7163312_40,5048864",Glass,V 2200 CL,1,1,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,Carretera M-612,190,-3.7163312,40.5048864,"Carretera M-612, 190"
