ANIO,MES,FECHA,ID,TIPO_EDIFICIO,EDIFICIO,URI_EDIFICIO,TIPO_DE_VIA,NOMBRE_DE_LA_CALLE,VIA,NUMERO_DEL_EDIFICIO,CODIGO_POSTAL,DISTRITO,URI_DISTRITO,CODIGO_DISTRITO,BARRIO,URI_BARRIO,CODIGO_BARRIO,POBLACION,COORDENADA_X,COORDENADA_Y,TIPO,CLASE,UNIDADES,CONSUMO
2021,4,2021-04,1017,Centros culturales y bibliotecas,CC_Fernando_de_los_Rios_Y_Biblioteca_Aluche,,CALLE,CAMARENA,CALLE_CAMARENA,10,28047,LATINA,Latina_(Madrid),10,ALUCHE,Aluche,104,Madrid,435820.47,4471927.38,Externo,Energia reactiva,kVAr,1612
2021,4,2021-04,1017,Centros culturales,CC_La_Elipa_y_CSS_Santa_Felicidad,,CALLE,SANTA FELICIDAD,CALLE_SANTA_FELICIDAD,39,28017,CIUDAD_LINEAL,"Ciudad_Lineal,_Madrid",15,VENTAS,Ventas_(Madrid),151,Madrid,444818.51,4475138.86,Externo,Energia activa,kWh,15316.8
2021,4,2021-04,1017,Centros culturales,CC_La_Elipa_y_CSS_Santa_Felicidad,,CALLE,SANTA FELICIDAD,CALLE_SANTA_FELICIDAD,39,28017,CIUDAD_LINEAL,"Ciudad_Lineal,_Madrid",15,VENTAS,Ventas_(Madrid),151,Madrid,444818.51,4475138.86,Externo,Energia reactiva,kVAr,1979.2
2021,4,2021-04,288,Centros culturales,CC_La_Vaguada,Q6465598,AVENIDA,MONFORTE DE LEMOS,AVENIDA_MONFORTE_DE_LEMOS,38,28029,FUENCARRAL-EL_PARDO,Fuencarral-El_Pardo,8,EL_PILAR,El_Pilar_(Madrid),84,Madrid,439890.74,4481167.14,Externo,Energia activa,kWh,20797
2021,4,2021-04,288,Centros culturales,CC_La_Vaguada,Q6465598,AVENIDA,MONFORTE DE LEMOS,AVENIDA_MONFORTE_DE_LEMOS,38,28029,FUENCARRAL-EL_PARDO,Fuencarral-El_Pardo,8,EL_PILAR,El_Pilar_(Madrid),84,Madrid,439890.74,4481167.14,Externo,Energia reactiva,kVAr,15746
2021,4,2021-04,288,Centros culturales,CC_La_Vaguada,Q6465598,AVENIDA,MONFORTE DE LEMOS,AVENIDA_MONFORTE_DE_LEMOS,38,28029,FUENCARRAL-EL_PARDO,Fuencarral-El_Pardo,8,EL_PILAR,El_Pilar_(Madrid),84,Madrid,439890.74,4481167.14,Externo,Gas,m3/h,0
2021,4,2021-04,1905,Centros culturales,CC_Los_Rosales,,AVENIDA,LOS ROSALES,AVENIDA_LOS_ROSALES,133,28021,VILLAVERDE,Villaverde_(Madrid),17,BUTARQUE,Butarque,173,Madrid,442488.59,4466913.33,Externo,Energia activa,kWh,5585
2021,4,2021-04,1905,Centros culturales,CC_Los_Rosales,,AVENIDA,LOS ROSALES,AVENIDA_LOS_ROSALES,133,28021,VILLAVERDE,Villaverde_(Madrid),17,BUTARQUE,Butarque,173,Madrid,442488.59,4466913.33,Externo,Energia reactiva,kVAr,357
2021,4,2021-04,1905,Centros culturales,CC_Los_Rosales,,AVENIDA,LOS ROSALES,AVENIDA_LOS_ROSALES,133,28021,VILLAVERDE,Villaverde_(Madrid),17,BUTARQUE,Butarque,173,Madrid,442488.59,4466913.33,Externo,Gas,m3/h,0
2021,4,2021-04,1151,Centros culturales,CC_Mercado_de_Ibiza,Q35673000,CALLE,IBIZA,CALLE_IBIZA,8,28009,RETIRO,Retiro_(Madrid),3,IBIZA,Ibiza_(Madrid),34,Madrid,442532.4,4474380.17,Externo,Energia activa,kWh,3001.3
