Número,Código Ayto,Centro,Calle,Portal nº,Latitud,Longitud,Uso del edificio,Distrito,Distrito URI from dbpedia,Ciudad,Ciudad URI from wikidata,Potencia KWp,Empresa instaladora,Puesta en servicio
37,509.0,"CMM ISLAS FILIPINAS, CENTRO JUVENIL Y BIBLIOTECA LA ELIPA",C/ NUESTRA SEÑORA DEL VILLAR,8.0,40.4234265908421,-3.65184164138948,social,Ciudad Lineal,http://dbpedia.org/resource/Category:Ciudad_Lineal,Madrid,https://www.wikidata.org/wiki/Q2807,15.0,PECSA,2018-10-23T14:00:00Z
38,2094.0,CSS SAN VICENTE DE PAUL, C/BUITRAGO DE LOZOYA,22.0,40.4724846268841,-3.71660783300847,social,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,Madrid,https://www.wikidata.org/wiki/Q2807,5.2,DESCONOCIDO,2018-01-08T18:00:00Z
39,2446.0,EI ELENA FORTÚN (MONTECARMELO),AV/ M.º SILOS / CAAVEIRO,57.0,40.506657,-3.694447,educativo,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,Madrid,https://www.wikidata.org/wiki/Q2807,7.5,ORTHEM,2019-07-02T14:00:00Z
40,1950.0,CDM VICENTE DEL BOSQUE,AV/ MONFORTE DE LEMOS,13.0,40.4789135943213,-3.69354065974728,deportivo,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,Madrid,https://www.wikidata.org/wiki/Q2807,50.0,ORTIZ,2019-05-27T14:00:00Z
41,1771.0,CDM LA MASÓ,C/ DE LA MASÓ,190.0,40.4844259993208,-3.71442225647198,deportivo,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,Madrid,https://www.wikidata.org/wiki/Q2807,7.0,DRAGADOS,2019-11-11T18:00:00Z
42,0.0,EI EL FRESNO,C/MARIA CASARES,15.0,40.494405,-3.724127,educativo,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,Madrid,https://www.wikidata.org/wiki/Q2807,7.5,DESCONOCIDO,2019-04-25T14:00:00Z
43,0.0,EI POETA GLORIA FUERTES (LAS TABLAS),C/ EUNATE,6.0,40.504951,-3.676283,educativo,Fuencarral-El Pardo,http://dbpedia.org/resource/Fuencarral-El_Pardo,Madrid,https://www.wikidata.org/wiki/Q2807,7.5,CONDISA,2019-12-01T18:00:00Z
44,1937.0,CDM LUIS ARAGONÉS,C/PROVENCIO,20.0,40.4646509480538,-3.62758771450258,deportivo,Hortaleza,http://dbpedia.org/resource/Hortaleza,Madrid,https://www.wikidata.org/wiki/Q2807,12.5,DRAGADOS,2018-11-14T18:00:00Z
45,2204.0,CC SANCHINARRO Y BIBLIOTECA MARÍA LEJÁRRAGA,C/ PRINCESA ÉBOLI,29.0,40.4903531015737,-3.65526174471725,cultural,Hortaleza,http://dbpedia.org/resource/Hortaleza,Madrid,https://www.wikidata.org/wiki/Q2807,20.0,DRAGADOS,2019-02-21T18:00:00Z
46,1380.0,JMD HORTALEZA,CARRETERA DE CANILLAS,2.0,40.462991140169,-3.65715427699194,administrativo,Hortaleza,http://dbpedia.org/resource/Hortaleza,Madrid,https://www.wikidata.org/wiki/Q2807,13.5,DRAGADOS,2019-07-02T14:00:00Z
